"","GEOID","NAME","Pop","Male","Female","White","Black","Other","Hispanic","Citizen","NotCitizen","engOnly","spanish","spanishStrE","spanishWeakE","medFamInc","perCapitaInc","inc0","inc1","inc2","inc3","inc4","inc5","inc6","inc7","Poverty","abovePoverty","InternetAccess","noInternetAccess","Disability","NoDisability","comm0","comm1","comm2","comm3","comm4","comm5","comm6","comm7","comm8","auto","public","walk","other","college"
"1","44007000101","Census Tract 1.01, Providence County, Rhode Island",5176,0.510046367851623,0.489953632148377,0.341576506955178,0.158423493044822,0.108964451313756,0.391035548686244,0.843508500772797,0.156491499227202,0.423266311038162,0.353918752564629,0.231226918342224,0.122691834222405,52500,15888,0.17246963562753,0.105263157894737,0.166801619433198,0.0761133603238866,0.165182186234818,0.175708502024292,0.0995951417004049,0.0388663967611336,0.272254857659286,0.727745142340714,0.851821862348178,0.148178137651822,0.12403400309119,0.87596599690881,0.172803141875307,0.160530191458027,0.205203730976927,0.0903289150711831,0.0667648502700049,0.105056455571919,0.0171821305841924,0.0579283259695631,0.124202258222877,0.810505645557192,0.0564555719194894,0.116347569955817,0.0166912125675012,0.315204446208813
"2","44007000102","Census Tract 1.02, Providence County, Rhode Island",5379,0.474437627811861,0.525562372188139,0.186465885852389,0.0866332031976204,0.110615356014129,0.616285554935862,0.862985685071575,0.137014314928425,0.338938411669368,0.551863857374392,0.301661264181524,0.250202593192869,37121,18433,0.239954075774971,0.0855338691159587,0.0907003444316877,0.0924225028702641,0.159586681974742,0.204936854190586,0.0947187141216992,0.0321469575200918,0.238130701917706,0.761869298082294,0.836969001148106,0.163030998851894,0.182088996462484,0.817911003537516,0.170661553211889,0.211409395973154,0.136625119846596,0.122722914669223,0.0412272291466922,0.134228187919463,0.0306807286673058,0.0642377756471716,0.0882070949185043,0.936720997123682,0.0584851390220518,0,0.00479386385426654,0.0601934083283995
"3","44007000200","Census Tract 2, Providence County, Rhode Island",7035,0.524378109452736,0.475621890547264,0.10319829424307,0.108884150675195,0.0631130063965885,0.724804548685146,0.719118692253021,0.280881307746979,0.290045941807044,0.668147013782542,0.375957120980092,0.29218989280245,42909,15855,0.167649950835792,0.134709931170108,0.107177974434612,0.174041297935103,0.164700098328417,0.166666666666667,0.0506391347099312,0.0344149459193707,0.256914741944682,0.743085258055318,0.84267453294002,0.15732546705998,0.161400512382579,0.838599487617421,0.0987758547910511,0.174335162515829,0.119459687631912,0.215280709159983,0.104685521317011,0.0772477838750528,0.0329252849303504,0.0295483326298016,0.147741663149008,0.805825242718447,0.131279020683833,0.0536091177712115,0.00928661882650908,0.0582396730404321
"4","44007000300","Census Tract 3, Providence County, Rhode Island",6841,0.50621254202602,0.49378745797398,0.121327291331677,0.129659406519515,0.13360619792428,0.615407104224529,0.789504458412513,0.210495541587487,0.235437683045884,0.589163683696713,0.290432801822323,0.29873088187439,40456,18056,0.269026548672566,0.138495575221239,0.0734513274336283,0.142920353982301,0.0982300884955752,0.161061946902655,0.0526548672566372,0.0641592920353982,0.298099762470309,0.701900237529691,0.629646017699115,0.370353982300885,0.181764445101227,0.818235554898773,0.181486880466472,0.220481049562682,0.166909620991254,0.160349854227405,0.0291545189504373,0.071064139941691,0.0160349854227405,0.0688775510204082,0.0856413994169096,0.817784256559767,0.106413994169096,0.0717930029154519,0.00400874635568513,0.0601996257018091
"5","44007000400","Census Tract 4, Providence County, Rhode Island",4009,0.511100024943876,0.488899975056124,0.0813170366674981,0.153654277874782,0.0800698428535794,0.684958842604141,0.821900723372412,0.178099276627588,0.274986346258875,0.600491534680502,0.300928454396505,0.299563080283998,26198,14094,0.249183006535948,0.218137254901961,0.149509803921569,0.0955882352941176,0.0964052287581699,0.0955882352941176,0.0792483660130719,0.0163398692810458,0.436517834871539,0.563482165128461,0.727124183006536,0.272875816993464,0.173359940134697,0.826640059865303,0.0927684441197955,0.326515704894083,0.173119065010957,0.161431701972243,0.0942293644996348,0.0693937180423667,0,0.0525931336742148,0.0299488677867056,0.919649379108839,0.0211833455076698,0.0365230094959825,0.0226442658875091,0.0654715510522214
"6","44007000500","Census Tract 5, Providence County, Rhode Island",3067,0.421258558852299,0.578741441147701,0.0358656667753505,0.207368764264754,0.0339093576785132,0.722856211281382,0.752526899250082,0.247473100749918,0.303847536857246,0.621359223300971,0.276519237684286,0.344839985616685,30417,11721,0.3,0.195238095238095,0.191428571428571,0.0666666666666667,0.179047619047619,0.0304761904761905,0.0371428571428571,0,0.334854907075318,0.665145092924682,0.762857142857143,0.237142857142857,0.10890120639061,0.89109879360939,0.0232088799192735,0.126135216952573,0.216952573158426,0.202825428859738,0.082744702320888,0.210898082744702,0.0716448032290616,0.029263370332997,0.0363269424823411,0.779011099899092,0.156407669021191,0.0645812310797175,0,0.0708744710860367
"7","44007000600","Census Tract 6, Providence County, Rhode Island",1799,0.536964980544747,0.463035019455253,0.158421345191773,0.354641467481934,0.0300166759310728,0.45692051139522,0.857698721511951,0.142301278488049,0.544701006512729,0.395500296033156,0.218472468916519,0.177027827116637,54637,20647,0.234714003944773,0.0907297830374754,0.0887573964497041,0.0650887573964497,0.177514792899408,0.211045364891519,0.0355029585798817,0.0966469428007889,0.288328075709779,0.711671924290221,0.775147928994083,0.224852071005917,0.0853586247777119,0.914641375222288,0.0846560846560847,0.306878306878307,0.239858906525573,0.072310405643739,0.0423280423280423,0.125220458553792,0.017636684303351,0.017636684303351,0.0934744268077601,0.883597883597884,0.0352733686067019,0.0811287477954145,0,0.140452698781196
"8","44007000700","Census Tract 7, Providence County, Rhode Island",2550,0.455294117647059,0.544705882352941,0.113333333333333,0.315686274509804,0.0611764705882353,0.509803921568627,0.867058823529412,0.132941176470588,0.412345679012346,0.468312757201646,0.262551440329218,0.205761316872428,25125,13552,0.427716849451645,0.215353938185444,0.0837487537387837,0.0528414755732802,0.036889332003988,0.147557328015952,0.0239282153539382,0.0119641076769691,0.377821782178218,0.622178217821782,0.56530408773679,0.43469591226321,0.243960396039604,0.756039603960396,0.131681877444589,0.1251629726206,0.148631029986962,0.186440677966102,0.131681877444589,0.157757496740548,0.0338983050847458,0.0338983050847458,0.0508474576271186,0.929595827900913,0.0234680573663625,0.0378096479791395,0.0091264667535854,0.0786380218889339
"9","44007000800","Census Tract 8, Providence County, Rhode Island",4635,0.45933117583603,0.54066882416397,0.499676375404531,0.074217907227616,0.251348435814455,0.174757281553398,0.79848975188781,0.20151024811219,0.614136474772172,0.139364303178484,0.0540120026672594,0.0853523005112247,76125,39233,0.390913893291072,0.0898045430533545,0.0443740095087163,0.051769677760169,0.0596936080295827,0.106708927628104,0.0713153724247227,0.185419968304279,0.381863266029047,0.618136733970953,0.743792921288959,0.256207078711041,0.180582524271845,0.819417475728155,0.326259946949602,0.139522546419098,0.206896551724138,0.112997347480106,0.00689655172413793,0.0652519893899204,0.0302387267904509,0.0350132625994695,0.0769230769230769,0.436074270557029,0.128381962864721,0.382493368700265,0.0530503978779841,0.515738498789346
"10","44007000900","Census Tract 9, Providence County, Rhode Island",2374,0.525273799494524,0.474726200505476,0.517270429654591,0.0408593091828138,0.100673967986521,0.341196293176074,0.848357203032856,0.151642796967144,0.604390873869996,0.276366767111494,0.114937580714593,0.161429186396901,50403,28923,0.314121037463977,0.139289145052834,0.0845341018251681,0.100864553314121,0.0518731988472622,0.198847262247839,0.0489913544668588,0.0614793467819404,0.334757834757835,0.665242165242165,0.683957732949087,0.316042267050913,0.178360101437025,0.821639898562975,0.253815261044177,0.224899598393574,0.146987951807229,0.17429718875502,0.0738955823293173,0.0674698795180723,0.0248995983935743,0.0240963855421687,0.00963855421686747,0.65140562248996,0.0473895582329317,0.257831325301205,0.0433734939759036,0.266217354675653
"11","44007001000","Census Tract 10, Providence County, Rhode Island",2192,0.550638686131387,0.449361313868613,0.342153284671533,0.130930656934307,0.0323905109489051,0.494525547445255,0.869069343065693,0.130930656934307,0.490556900726392,0.47409200968523,0.210169491525424,0.263922518159806,36473,20980,0.424670433145009,0.0828625235404896,0.0913370998116761,0.0819209039548023,0.109227871939736,0.0979284369114878,0.0753295668549906,0.0367231638418079,0.325267566309912,0.674732433690088,0.656308851224105,0.343691148775895,0.093521897810219,0.906478102189781,0.146892655367232,0.0937853107344633,0.166101694915254,0.195480225988701,0.0689265536723164,0.0836158192090395,0.0463276836158192,0.0259887005649717,0.172881355932203,0.743502824858757,0.169491525423729,0.0621468926553672,0.0248587570621469,0.0808753568030447
"12","44007001100","Census Tract 11, Providence County, Rhode Island",2331,0.488631488631489,0.511368511368511,0.634491634491634,0.0141570141570142,0.102102102102102,0.249249249249249,0.867009867009867,0.132990132990133,0.751371115173675,0.153107861060329,0.0740402193784278,0.0790676416819013,59432,29340,0.177227722772277,0.0881188118811881,0.0861386138613861,0.124752475247525,0.097029702970297,0.246534653465347,0.0900990099009901,0.0900990099009901,0.253968253968254,0.746031746031746,0.820792079207921,0.179207920792079,0.124410124410124,0.875589875589876,0.205479452054795,0.203196347031963,0.198630136986301,0.166666666666667,0.058599695585997,0.0753424657534247,0,0.0266362252663623,0.0654490106544901,0.707001522070015,0.0441400304414003,0.211567732115677,0.0372907153729072,0.137228862328464
"13","44007001200","Census Tract 12, Providence County, Rhode Island",3607,0.406154699196008,0.593845300803992,0.168838369836429,0.165511505406155,0.0493484890490712,0.616301635708345,0.809537011366787,0.190462988633213,0.317450863609291,0.58487194758785,0.36777843954735,0.2170935080405,35597,17048,0.268619246861925,0.142259414225941,0.0937238493723849,0.127196652719665,0.141422594142259,0.123012552301255,0.0602510460251046,0.0435146443514644,0.341858482523444,0.658141517476556,0.721338912133891,0.278661087866109,0.166524580846831,0.833475419153168,0.135697764070933,0.15343099460293,0.265227447956823,0.145720894371627,0.046260601387818,0.0894371626831149,0.0131071703932151,0.0701619121048574,0.0809560524286816,0.824980724749422,0.0809560524286816,0.0370084811102544,0.0570547417116423,0.101390498261877
"14","44007001300","Census Tract 13, Providence County, Rhode Island",3967,0.491303251827578,0.508696748172422,0.29493319889085,0.0904965969246282,0.0988152256112932,0.515754978573229,0.765061759516007,0.234938240483993,0.375894039735099,0.473112582781457,0.247682119205298,0.225430463576159,51914,23205,0.197183098591549,0.145070422535211,0.0929577464788732,0.0584507042253521,0.109859154929577,0.214084507042254,0.119718309859155,0.0626760563380282,0.241758241758242,0.758241758241758,0.669718309859155,0.330281690140845,0.107334525939177,0.892665474060823,0.0920770877944325,0.205032119914347,0.309957173447537,0.188972162740899,0.0256959314775161,0.0428265524625268,0.0198072805139186,0.0572805139186296,0.0583511777301927,0.811027837259101,0.0380085653104925,0.0819057815845824,0.0690578158458244,0.0412558380902958
"15","44007001400","Census Tract 14, Providence County, Rhode Island",7594,0.517513826705294,0.482486173294706,0.0597840400316039,0.161574927574401,0.1278641032394,0.650776929154596,0.717540163286805,0.282459836713195,0.272281390134529,0.611406950672646,0.272701793721973,0.338705156950673,43463,17499,0.208687440982059,0.127478753541076,0.121340887629839,0.0797922568460812,0.140698772426818,0.218130311614731,0.072710103871577,0.0311614730878187,0.303381382190489,0.696618617809511,0.662889518413598,0.337110481586402,0.197524361337898,0.802475638662102,0.052827632915679,0.108364375211649,0.172367084321029,0.174398916356248,0.033525228581104,0.18929901794785,0.0711141212326448,0.0866915001693193,0.111412123264477,0.875380968506603,0.073823230612936,0.0507958008804605,0,0.0576923076923077
"16","44007001500","Census Tract 15, Providence County, Rhode Island",3127,0.511992324912056,0.488007675087944,0.257435241445475,0.189958426606972,0.100415733930285,0.452190598017269,0.764950431723697,0.235049568276303,0.442026521591295,0.445426725603536,0.22373342400544,0.221693301598096,56053,26999,0.142094017094017,0.180555555555556,0.0502136752136752,0.0726495726495727,0.0918803418803419,0.252136752136752,0.127136752136752,0.0833333333333333,0.191557403261912,0.808442596738088,0.860042735042735,0.139957264957265,0.125039974416374,0.874960025583627,0.17184265010352,0.204968944099379,0.247066942719117,0.126293995859213,0.0669427191166322,0.146307798481712,0.0262249827467219,0.00483091787439614,0.00552104899930987,0.929606625258799,0.0241545893719807,0.0296756383712905,0.0165631469979296,0.0882255389718076
"17","44007001600","Census Tract 16, Providence County, Rhode Island",7773,0.503923838929628,0.496076161070372,0.0985462498391869,0.0412967966036279,0.0733307603241991,0.786826193232986,0.750546764441014,0.249453235558986,0.209075244112579,0.712665134979897,0.319500287191269,0.393164847788627,51927,17627,0.176759410801964,0.149345335515548,0.0495090016366612,0.103518821603928,0.18657937806874,0.238134206219313,0.0585106382978723,0.0376432078559738,0.269908658175737,0.730091341824263,0.73772504091653,0.26227495908347,0.111153994596681,0.888846005403319,0.0423357664233577,0.181313868613139,0.275036496350365,0.147445255474453,0.0694890510948905,0.143649635036496,0.00700729927007299,0.0344525547445255,0.0992700729927007,0.908321167883212,0.0484671532846715,0.0175182481751825,0.0256934306569343,0.0441156133314894
"18","44007001700","Census Tract 17, Providence County, Rhode Island",3372,0.480723606168446,0.519276393831554,0.202846975088968,0.0533807829181495,0.0720640569395018,0.671708185053381,0.794187425860024,0.205812574139976,0.253164556962025,0.616588940706196,0.239506995336442,0.377081945369753,43333,19789,0.1592,0.1312,0.1184,0.1008,0.2144,0.1568,0.1016,0.0176,0.153321470937129,0.846678529062871,0.6816,0.3184,0.0987544483985765,0.901245551601424,0.065798492117889,0.144619602467443,0.274160383824537,0.156271418779986,0.0424948594928033,0.184372858122001,0.0527758738862234,0.0424948594928033,0.0370116518163125,0.959561343385881,0.000685400959561343,0,0.0397532556545579,0.0325072417122626
"19","44007001800","Census Tract 18, Providence County, Rhode Island",6631,0.493590710300106,0.506409289699894,0.153822952797466,0.217915849796411,0.0452420449404313,0.583019152465691,0.80349871814206,0.19650128185794,0.356389986824769,0.564723320158103,0.289361001317523,0.27536231884058,32833,14676,0.256993835941204,0.125177809388336,0.198672356567093,0.0469416785206259,0.0796586059743954,0.207207207207207,0.0801327643432907,0.00521574205784732,0.38566396079032,0.61433603920968,0.70886676149834,0.29113323850166,0.129995475795506,0.870004524204494,0.0639488409272582,0.0891286970423661,0.422462030375699,0.1207034372502,0.0519584332533973,0.140287769784173,0.0179856115107914,0.0375699440447642,0.0559552358113509,0.941646682653877,0.0583533173461231,0,0,0.0561493061094273
