"","GEOID","NAME","Pop","Male","Female","White","Black","Other","Hispanic","Citizen","NotCitizen","engOnly","spanish","spanishStrE","spanishWeakE","medFamInc","perCapitaInc","inc0","inc1","inc2","inc3","inc4","inc5","inc6","inc7","Poverty","abovePoverty","InternetAccess","noInternetAccess","Disability","NoDisability","comm0","comm1","comm2","comm3","comm4","comm5","comm6","comm7","comm8","auto","public","walk","other","college"
"20","44007001900","Census Tract 19, Providence County, Rhode Island",5011,0.481939732588306,0.518060267411694,0.229095988824586,0.176012771901816,0.0498902414687687,0.545000997804829,0.830971861903812,0.169028138096188,0.479982964224872,0.485945485519591,0.188884156729131,0.29706132879046,32228,15653,0.319214876033058,0.150309917355372,0.128099173553719,0.0707644628099174,0.0867768595041322,0.178719008264463,0.0661157024793388,0,0.332186234817814,0.667813765182186,0.616219008264463,0.383780991735537,0.122297838270616,0.877702161729384,0.0627590290112493,0.171107164002368,0.320307874481942,0.163410301953819,0.044404973357016,0.093546477205447,0.0112492599171107,0.0651272942569568,0.0680876258140912,0.867969212551806,0.0373001776198934,0.0497335701598579,0.0449970396684429,0.07465495608532
"21","44007002000","Census Tract 20, Providence County, Rhode Island",6177,0.44180022664724,0.55819977335276,0.337380605471912,0.149263396470779,0.0488910474340295,0.46446495062328,0.916302412174195,0.0836975878258054,0.567562787407145,0.368411743898125,0.25451008135833,0.113901662539795,NA,16600,0.283981808994442,0.146538655886812,0.159676604345629,0.0838807478524507,0.0434562910560889,0.166750884284992,0.0641738251642244,0.0515411824153613,0.280783401202249,0.719216598797751,0.646286003031834,0.353713996968166,0.139226161567104,0.860773838432896,0.0989660265878877,0.0926883308714919,0.262555391432792,0.125553914327917,0.0572378138847858,0.0768094534711965,0.0838257016248154,0.100073855243722,0.102289512555391,0.830871491875923,0.052437223042836,0.077917282127031,0.0387740029542097,0.212571814802298
"22","44007002101","Census Tract 21.01, Providence County, Rhode Island",2840,0.525,0.475,0.282394366197183,0.194718309859155,0.0450704225352113,0.477816901408451,0.912323943661972,0.0876760563380282,0.476007677543186,0.405758157389635,0.253742802303263,0.152015355086372,57417,23454,0.0823653643083421,0.0770855332629356,0.10454065469905,0.0844772967265048,0.183738120380148,0.288278775079197,0.130939809926082,0.0485744456177402,0.147535211267606,0.852464788732394,0.907074973600845,0.0929250263991552,0.104929577464789,0.895070422535211,0.0426470588235294,0.1875,0.269852941176471,0.143382352941176,0.0573529411764706,0.0970588235294118,0.0580882352941176,0.025,0.119117647058824,0.930147058823529,0.0529411764705882,0.00882352941176471,0.00808823529411765,0.0956651718983558
"23","44007002102","Census Tract 21.02, Providence County, Rhode Island",6195,0.467958030669895,0.532041969330105,0.179499596448749,0.209039548022599,0.0490718321226796,0.562389023405973,0.844229217110573,0.155770782889427,0.401834862385321,0.515429524603837,0.343286071726439,0.172143452877398,61250,18981,0.138329979879276,0.17907444668008,0.0472837022132797,0.0840040241448692,0.103118712273642,0.326961770623742,0.091046277665996,0.0301810865191147,0.213013920362577,0.786986079637423,0.891851106639839,0.108148893360161,0.1181598062954,0.881840193704601,0.0451277955271566,0.165335463258786,0.287539936102236,0.233626198083067,0.0211661341853035,0.0850638977635783,0.0191693290734824,0.055111821086262,0.0878594249201278,0.93370607028754,0.0634984025559105,0,0.00279552715654952,0.093739648890361
"24","44007002200","Census Tract 22, Providence County, Rhode Island",4979,0.475999196625828,0.524000803374172,0.100020084354288,0.159068085961036,0.140389636473187,0.600522193211488,0.826069491865837,0.173930508134163,0.313614811469858,0.593136148114699,0.345902009482953,0.247234138631745,35238,16054,0.156716417910448,0.190637720488467,0.155359565807327,0.128900949796472,0.0705563093622795,0.198100407055631,0.0345997286295794,0.0651289009497965,0.26305180407176,0.73694819592824,0.85685210312076,0.14314789687924,0.1159040516025,0.8840959483975,0.178365384615385,0.194230769230769,0.228365384615385,0.124038461538462,0.0278846153846154,0.155769230769231,0.0475961538461538,0.0139423076923077,0.0298076923076923,0.900480769230769,0.05625,0.0283653846153846,0.0149038461538462,0.042336083369518
"25","44007002300","Census Tract 23, Providence County, Rhode Island",4696,0.459752981260647,0.540247018739353,0.754258943781942,0.0772998296422487,0.0873083475298126,0.0811328790459966,0.885008517887564,0.114991482112436,0.74145251396648,0.0670391061452514,0.0487150837988827,0.0183240223463687,77097,32674,0.132725430597771,0.0506585612968592,0.0770010131712259,0.229483282674772,0.0557244174265451,0.170212765957447,0.142857142857143,0.141337386018237,0.163636363636364,0.836363636363636,0.839918946301925,0.160081053698075,0.119733924611973,0.880266075388027,0.117567567567568,0.040990990990991,0.416216216216216,0.104054054054054,0.0454954954954955,0.0963963963963964,0.0405405405405405,0.0783783783783784,0.0603603603603604,0.930630630630631,0.0162162162162162,0.0531531531531532,0,0.134784520668426
"26","44007002400","Census Tract 24, Providence County, Rhode Island",7260,0.458677685950413,0.541322314049587,0.657851239669421,0.0818181818181818,0.0509641873278237,0.209366391184573,0.946556473829201,0.0534435261707989,0.726811389906964,0.185649844939385,0.150690724555963,0.0349591203834226,75670,29803,0.0661236224245328,0.120268327743172,0.0761859127934835,0.0809774796358409,0.0915189266890273,0.263057019645424,0.181600383325347,0.120268327743172,0.104007455731594,0.895992544268406,0.870627695256349,0.129372304743651,0.137844959090279,0.862155040909721,0.12554695388758,0.194883877482329,0.263547627061595,0.173678895994615,0.0316391787277011,0.0323123527431841,0.0683271625715247,0.0716930326489398,0.0383709188825311,0.815213732749916,0.0737125546953888,0.100639515314709,0.0104341972399865,0.316358024691358
"27","44007002500","Census Tract 25, Providence County, Rhode Island",3076,0.533485045513654,0.466514954486346,0.395318595578674,0.104681404421326,0.140117035110533,0.359882964889467,0.863459037711313,0.136540962288687,0.631856540084388,0.234880450070323,0.107946554149086,0.126933895921238,61155,42653,0.0911094783247612,0.00881704628949302,0.112417340191036,0.104335047759001,0.13078618662748,0.251285819250551,0.170462894930198,0.13078618662748,0.155721716514954,0.844278283485046,0.887582659808964,0.112417340191036,0.108582574772432,0.891417425227568,0.131595677050223,0.179910998092816,0.261284170375079,0.151303242212333,0.0534011443102352,0.0375079465988557,0.05276541640178,0.0317863954227591,0.100445009535919,0.826446280991736,0.0432294977749523,0.0979020979020979,0.0324221233312142,0.0811936155447606
"28","44007002600","Census Tract 26, Providence County, Rhode Island",3387,0.467375258340714,0.532624741659286,0.119870091526425,0.158842633599055,0.15116622379687,0.57012105107765,0.781222320637733,0.218777679362267,0.427725856697819,0.533644859813084,0.253894080996885,0.279750778816199,35478,14447,0.26418152350081,0.173419773095624,0.144246353322528,0.0988654781199352,0.0818476499189627,0.196110210696921,0.0413290113452188,0,0.306007694584197,0.693992305415803,0.676661264181524,0.323338735818476,0.140537348686153,0.859462651313847,0.0811044003451251,0.167385677308024,0.215703192407248,0.123382226056946,0.0811044003451251,0.11130284728214,0.0172562553925798,0.0716134598792062,0.131147540983607,0.857635893011217,0.0802415875754961,0.0509059534081104,0.0112165660051769,0.0778825676909036
"29","44007002700","Census Tract 27, Providence County, Rhode Island",5788,0.444540428472702,0.555459571527298,0.290082930200415,0.144955079474775,0.0590877677954388,0.505874222529371,0.893918451969592,0.106081548030408,0.461026615969582,0.432699619771863,0.257414448669202,0.175285171102662,32444,13572,0.309878213802436,0.15020297699594,0.10893098782138,0.148173207036536,0.0365358592692828,0.143437077131258,0.0717185385656292,0.0311231393775372,0.420783645655877,0.579216354344123,0.822733423545332,0.177266576454668,0.166071428571429,0.833928571428571,0.152866242038217,0.127967573827446,0.150550086855819,0.190503763752171,0.0440069484655472,0.0712217718587145,0.0353213665315576,0.118702953097858,0.108859293572669,0.684423856398379,0.0909090909090909,0.180660104226983,0.0440069484655472,0.225806451612903
"30","44007002800","Census Tract 28, Providence County, Rhode Island",6407,0.481036366474169,0.518963633525831,0.210550959887623,0.303730294989855,0.0337131262681442,0.452005618854378,0.920555642266271,0.0794443577337287,0.589213709677419,0.355006720430108,0.23807123655914,0.116935483870968,45458,20805,0.231865284974093,0.131692573402418,0.11873920552677,0.0967184801381693,0.0453367875647668,0.278065630397237,0.053972366148532,0.0436096718480138,0.288902762603403,0.711097237396597,0.850604490500864,0.149395509499136,0.140315280162322,0.859684719837678,0.117935192162773,0.210625470987189,0.136397889977393,0.169555388093444,0.0535041446872645,0.112283345892992,0.0470987189148455,0.10964581763376,0.0429540316503391,0.961190655614167,0.0388093443858327,0,0,0.068045902699208
"31","44007002900","Census Tract 29, Providence County, Rhode Island",7269,0.432108955839868,0.567891044160132,0.282019535011693,0.232081441738891,0.094098225340487,0.391800797908928,0.854450405832989,0.145549594167011,0.537435586541376,0.302061230675962,0.1303425280388,0.171718702637163,44091,19392,0.241777466759972,0.06962911126662,0.12631210636809,0.156053184044787,0.10146955913226,0.189293212036389,0.0881735479356193,0.0272918124562631,0.20798232288358,0.79201767711642,0.770818754373688,0.229181245626312,0.157901982378855,0.842098017621145,0.0436208592981305,0.264676943260085,0.204001311905543,0.151525090193506,0.088553624139062,0.112167923909479,0.0121351262709085,0.0616595605116432,0.0616595605116432,0.839619547392588,0.055755985569039,0.0580518202689406,0.0465726467694326,0.0583877995642702
"32","44007003100","Census Tract 31, Providence County, Rhode Island",4053,0.480384900074019,0.519615099925981,0.617320503330866,0.165062916358253,0.0949913644214162,0.122625215889465,0.953367875647668,0.0466321243523316,0.793811752470099,0.0743629745189808,0.0345813832553302,0.0397815912636505,52941,36481,0.353628835849976,0.0983925962006819,0.0336093521675597,0.0769605455431076,0.132489040428641,0.119337554797857,0.0730638090599123,0.112518265952265,0.25254635675111,0.74745364324889,0.756941061860692,0.243058938139308,0.138223938223938,0.861776061776062,0.152717391304348,0.211413043478261,0.126630434782609,0.246195652173913,0.0364130434782609,0.0146739130434783,0.0820652173913043,0.0244565217391304,0.105434782608696,0.728260869565217,0.0614130434782609,0.205434782608696,0.00489130434782609,0.148785425101215
"33","44007003200","Census Tract 32, Providence County, Rhode Island",3474,0.448762233736327,0.551237766263673,0.646804835924007,0.0664939550949914,0.172999424294761,0.113701784686241,0.950201496833621,0.0497985031663788,0.752270591919825,0.120889445662386,0.0980269339179455,0.022862511744441,112667,43998,0.164179104477612,0.0470149253731343,0.0350746268656716,0.0477611940298507,0.076865671641791,0.208208955223881,0.167164179104478,0.253731343283582,0.236788911348542,0.763211088651458,0.956716417910448,0.0432835820895522,0.0509499136442142,0.949050086355786,0.121769098219414,0.175761056863871,0.23779437105112,0.160252728317059,0.0493968983342906,0.0304422745548535,0.0361860999425617,0.0913268236645606,0.0970706490522688,0.815623205054566,0.090178058587019,0.064330844342332,0.0298678920160827,0.0850741749924311
"34","44007003300","Census Tract 33, Providence County, Rhode Island",4588,0.503269398430689,0.496730601569311,0.692676547515257,0.0882737576285963,0.177855274629468,0.0411944202266783,0.908674803836094,0.0913251961639058,0.799020750757752,0.0335742597342038,0.0291443226859408,0.004429937048263,114432,44864,0.0928905033731188,0.0809548521017125,0.0430721328489881,0.041515308770109,0.0809548521017125,0.247016087182148,0.210171250648677,0.203425012973534,0.0925379904740304,0.90746200952597,0.906590555267255,0.0934094447327452,0.108083352415846,0.891916647584154,0.0995412844036697,0.189449541284404,0.26697247706422,0.0926605504587156,0.0486238532110092,0.0926605504587156,0.0357798165137615,0.0463302752293578,0.127981651376147,0.809633027522936,0.137614678899083,0.031651376146789,0.0211009174311927,0.0653023683605427
"35","44007003400","Census Tract 34, Providence County, Rhode Island",4540,0.459911894273128,0.540088105726872,0.887665198237885,0,0.0980176211453744,0.0143171806167401,0.92488986784141,0.0751101321585903,0.872504209766659,0.00938176569641568,0.00938176569641568,0,228750,98562,0.0543420351624933,0.0474160895045285,0.0143846563665424,0.00106553010122536,0.0181140117208311,0.0942994139584443,0.168353755993607,0.602024507192328,0.0304512113803067,0.969548788619693,0.939797549280767,0.0602024507192328,0.0540120026672594,0.945987997332741,0.109268292682927,0.281463414634146,0.137073170731707,0.105365853658537,0.0897560975609756,0.115121951219512,0.0346341463414634,0.075609756097561,0.0517073170731707,0.855121951219512,0.035609756097561,0.0712195121951219,0.0380487804878049,0.0663033605812897
"36","44007003500","Census Tract 35, Providence County, Rhode Island",5082,0.497048406139315,0.502951593860685,0.74616292798111,0.0234159779614325,0.185360094451004,0.0450609996064542,0.871310507674144,0.128689492325856,0.768201176232002,0.0484688704116812,0.0456296897181099,0.00283918069357128,125025,57059,0.127032967032967,0.0804395604395604,0.0624175824175824,0.0835164835164835,0.107692307692308,0.207912087912088,0.14021978021978,0.190769230769231,0.200791295746785,0.799208704253215,0.92967032967033,0.0703296703296703,0.0664688427299703,0.93353115727003,0.23726292301971,0.194496095202678,0.19895872071402,0.101896615842321,0.0680550390479732,0.0316102640386761,0.0371885459278542,0.0416511714391967,0.0888806247675716,0.664187430271476,0.0829304574191149,0.240238006693938,0.0126441056154704,0.281168701220732
"37","44007003601","Census Tract 36.01, Providence County, Rhode Island",2435,0.482546201232033,0.517453798767967,0.629568788501027,0.0344969199178645,0.257494866529774,0.0784394250513347,0.776180698151951,0.223819301848049,0.691958762886598,0.0602061855670103,0.0519587628865979,0.00824742268041237,91250,26451,0.187096774193548,0.109677419354839,0.0567741935483871,0.0954838709677419,0.114838709677419,0.201290322580645,0.135483870967742,0.0993548387096774,0.248520710059172,0.751479289940828,0.943225806451613,0.0567741935483871,0.042299794661191,0.957700205338809,0.303685897435897,0.273237179487179,0.159455128205128,0.118589743589744,0.0232371794871795,0.0280448717948718,0.0264423076923077,0.0296474358974359,0.0376602564102564,0.346955128205128,0.0881410256410256,0.545673076923077,0.0192307692307692,0.662268041237113
"38","44007003602","Census Tract 36.02, Providence County, Rhode Island",5646,0.474672334396033,0.525327665603967,0.655862557562876,0.0520722635494155,0.209174636911088,0.0828905419766206,0.911087495572086,0.0889125044279136,0.73903743315508,0.0631016042780749,0.0591800356506239,0.00392156862745098,237024,26241,0.0868113522537563,0.0918196994991653,0.0233722871452421,0.0801335559265442,0.0784641068447412,0.175292153589316,0.0751252086811352,0.3889816360601,0.339856490541422,0.660143509458578,0.988313856427379,0.011686143572621,0.0492383988664541,0.950761601133546,0.37904468412943,0.243965074473549,0.174627632254751,0.0431432973805855,0.0164355418592707,0.0210580380071905,0.0256805341551104,0.0405752439650745,0.0554699537750385,0.323574730354391,0.049306625577812,0.597329224447869,0.0297894196199281,0.835231316725979
"39","44007003700","Census Tract 37, Providence County, Rhode Island",3073,0.497233973315978,0.502766026684022,0.624796615684998,0.0735437683045884,0.238203709729906,0.0634559062805077,0.824601366742597,0.175398633257403,0.76093489148581,0.0417362270450751,0.0407345575959933,0.0010016694490818,97037,46227,0.240319606637984,0.114935464044253,0.0872771972956361,0.0903503380454825,0.0854333128457283,0.161032575291948,0.101413644744929,0.119237861094038,0.311242993735575,0.688757006264425,0.858020897357099,0.141979102642901,0.135509396636993,0.864490603363007,0.152671755725191,0.210964607911173,0.21998612074948,0.114503816793893,0.0367800138792505,0.0541290770298404,0.00693962526023595,0.0645385149201943,0.139486467730743,0.443442054129077,0.122831367106176,0.378209576682859,0.0555170020818876,0.310810810810811
